GEOID,visits,prep,prep_idx,prep_w,device,max_wind,count_wind_21_33,max_rain,experienced_wind_33,experienced_rain_150,count_rain_70_150,max_rain,FIPS,PropertyDmgPerCapita,coastal_flag,coastal_flag_county,ida_ge_33
221090012021,24,p,1,0,154.0,34.2873689216262,2,105.60942840576172,2,1,3,105.60942840576172,22109,0.7674244,1,1,1
221090012023,9,p,1,0,122.0,33.8387688007255,3,141.5,2,1,3,141.5,22109,0.7674244,1,1,1
221030413003,20,p,1,0,110.0,29.4802922866134,5,103.3000030517578,1,1,3,103.3000030517578,22103,0.05873937,1,1,0
221030407011,68,p,1,0,356.0,29.6474289168828,4,100.25,1,1,3,100.25,22103,0.05873937,0,1,0
221030411011,65,p,1,0,270.0,30.2558281312235,4,138.0,1,1,5,138.0,22103,0.05873937,1,1,0
220950701001,13,p,1,0,77.0,31.7255041299701,4,153.0,1,2,1,153.0,22095,0.2488945099999999,1,1,1
220950705002,7,p,1,0,59.0,32.323492371079,4,144.0932959142486,1,1,3,144.0932959142486,22095,0.2488945099999999,1,1,1
220950705001,9,p,1,0,81.0,32.766933104491,4,143.3000030517578,1,1,3,143.3000030517578,22095,0.2488945099999999,1,1,1
221090002012,24,p,1,0,76.0,44.6756651930432,3,137.3000030517578,2,1,2,137.3000030517578,22109,0.7674244,1,1,1
221090002013,17,p,1,0,96.0,34.2127648982689,4,151.1504395414706,2,2,1,151.1504395414706,22109,0.7674244,1,1,1
221090002021,61,p,1,0,290.0,34.3088472574601,4,157.39003375011268,2,2,1,157.39003375011268,22109,0.7674244,1,1,1
221090002022,31,p,1,0,148.0,34.2674708284783,4,156.22012408740224,2,2,1,156.22012408740224,22109,0.7674244,1,1,1
221090002023,44,p,1,0,194.0,34.385210282025,4,155.70001220703125,2,2,1,155.70001220703125,22109,0.7674244,1,1,1
221210204012,28,p,1,0,208.0,35.0699183087342,4,63.45000076293945,2,1,0,63.45000076293945,22121,0.36837128,0,0,1
221090001023,5,p,1,0,61.0,43.0910665472462,3,143.721320652832,2,1,2,143.721320652832,22109,0.7674244,1,1,1
220710017253,4,p,1,0,56.0,32.4416094992292,5,90.73230676147692,1,1,4,90.73230676147692,22071,0.06577263,1,1,0
220930401001,36,p,1,0,175.0,43.1105726843697,4,149.44616823806086,2,1,2,149.44616823806086,22093,0.29947926,1,1,1
221090001011,14,p,1,0,93.0,40.2003950907991,3,100.3000030517578,2,1,2,100.3000030517578,22109,0.7674244,1,1,1
221090006006,10,p,1,0,85.0,33.8374316183851,3,176.632937691983,2,2,2,176.632937691983,22109,0.7674244,1,1,1
221090015001,21,p,1,0,119.0,41.220992429493,4,100.97999572753906,2,1,1,100.97999572753906,22109,0.7674244,1,1,1
221090013004,34,p,1,0,158.0,33.6758626543294,3,173.45689059995985,2,2,1,173.45689059995985,22109,0.7674244,1,1,1
221090010001,49,p,1,0,215.0,33.9669729753861,3,144.25,2,1,3,144.25,22109,0.7674244,1,1,1
221090013003,30,p,1,0,102.0,35.0783202524315,2,154.8000030517578,2,2,2,154.8000030517578,22109,0.7674244,1,1,1
221090012012,12,p,1,0,101.0,33.6267326476975,2,141.16241494853443,2,1,4,141.16241494853443,22109,0.7674244,1,1,1
221090013001,16,p,1,0,82.0,31.0036958436635,3,164.546142578125,1,2,1,164.546142578125,22109,0.7674244,1,1,1
221090012011,29,p,1,0,141.0,33.8915095642644,3,159.4250030517578,2,2,2,159.4250030517578,22109,0.7674244,1,1,1
221090006002,9,p,1,0,46.0,34.3526811787462,3,181.2219054757525,2,2,2,181.2219054757525,22109,0.7674244,1,1,1
