GEOID,visits,prep,prep_idx,prep_w,device,max_wind,count_wind_21_33,max_rain,experienced_wind_33,experienced_rain_150,count_rain_70_150,max_rain,FIPS,PropertyDmgPerCapita,coastal_flag,coastal_flag_county,ida_ge_33
221090009002,22,p,1,0,61.0,34.2802312058407,3,173.4626947590309,2,2,2,173.4626947590309,22109,0.7674244,1,1,1
221090005003,37,p,1,0,50.0,34.3011252521548,3,173.47859215816467,2,2,2,173.47859215816467,22109,0.7674244,1,1,1
221090004022,89,p,1,0,93.0,34.2969004904399,3,158.362556329127,2,2,1,158.362556329127,22109,0.7674244,1,1,1
221090009001,71,p,1,0,154.0,34.3223655946624,3,176.19599982259405,2,2,2,176.19599982259405,22109,0.7674244,1,1,1
221090009003,24,p,1,0,51.0,34.2836453743769,3,179.00742605015907,2,2,2,179.00742605015907,22109,0.7674244,1,1,1
220710017352,5,p,1,0,71.0,31.5750007378361,5,92.88007868743313,1,1,3,92.88007868743313,22071,0.06577263,1,1,0
221090008002,40,p,1,0,86.0,34.1933889127767,3,185.74558422252457,2,2,2,185.74558422252457,22109,0.7674244,1,1,1
221090008005,103,p,1,0,177.0,33.9252997602199,3,181.2466124022663,2,2,2,181.2466124022663,22109,0.7674244,1,1,1
220990205022,162,p,1,0,305.0,37.5135518725741,3,141.89999389648438,2,1,4,141.89999389648438,22099,2.17976609,0,1,1
220710017351,8,p,1,0,52.0,31.9768684836073,5,89.80000305175781,1,1,4,89.80000305175781,22071,0.06577263,1,1,0
220930404003,17,p,1,0,54.0,43.7268889515115,4,130.14999389648438,2,1,2,130.14999389648438,22093,0.29947926,1,1,1
220710017361,4,p,1,0,29.0,32.5797149655026,5,89.01599528410422,1,1,4,89.01599528410422,22071,0.06577263,1,1,0
220930402001,29,p,1,0,108.0,43.302082890047,4,125.2549534164771,2,1,2,125.2549534164771,22093,0.29947926,1,1,1
220930403002,33,p,1,0,54.0,44.9094234244376,4,116.5999984741211,2,1,2,116.5999984741211,22093,0.29947926,1,1,1
220930404001,49,p,1,0,54.0,39.110583770724,3,133.70001220703125,2,1,1,133.70001220703125,22093,0.29947926,1,1,1
220710017392,8,p,1,0,26.0,33.0799841070876,4,88.61376267035284,2,1,4,88.61376267035284,22071,0.06577263,1,1,0
220930405002,56,p,1,0,74.0,41.5440690511018,3,122.55555725097656,2,1,1,122.55555725097656,22093,0.29947926,1,1,1
221090001012,134,p,1,0,197.0,39.9304159221673,3,90.6930244039536,2,1,2,90.6930244039536,22109,0.7674244,1,1,1
221259518002,82,p,1,0,153.0,33.4794413916864,2,72.55999755859375,2,1,1,72.55999755859375,22125,0.32906933,0,0,1
221259517011,20,p,1,0,75.0,31.8756882003686,3,101.56666564941406,1,1,1,101.56666564941406,22125,0.32906933,0,0,1
221259517021,65,p,1,0,75.0,32.4668213645178,3,98.21818542480467,1,1,1,98.21818542480467,22125,0.32906933,0,0,1
221259518003,133,p,1,0,206.0,32.5916768443418,4,66.97500610351562,1,1,0,66.97500610351562,22125,0.32906933,0,0,1
221259517012,45,p,1,0,63.0,32.70817414845,3,74.47856903076172,1,1,1,74.47856903076172,22125,0.32906933,0,0,1
220930406001,38,p,1,0,86.0,45.053542478093,4,112.4000015258789,2,1,2,112.4000015258789,22093,0.29947926,1,1,1
220930407001,22,p,1,0,44.0,42.9861902389954,3,117.4000015258789,2,1,3,117.4000015258789,22093,0.29947926,1,1,1
220930407002,40,p,1,0,70.0,43.1588384176886,3,117.98157784274062,2,1,3,117.98157784274062,22093,0.29947926,1,1,1
221090001021,24,p,1,0,81.0,42.359972111268,3,133.15974954389506,2,1,2,133.15974954389506,22109,0.7674244,1,1,1
221090001022,66,p,1,0,130.0,42.0713512840208,3,140.89999389648438,2,1,2,140.89999389648438,22109,0.7674244,1,1,1
221090002011,98,p,1,0,168.0,34.2541559212674,4,149.71557252065145,2,1,2,149.71557252065145,22109,0.7674244,1,1,1
221090003002,92,p,1,0,174.0,34.1870401819407,4,160.14744205322165,2,2,1,160.14744205322165,22109,0.7674244,1,1,1
221090003003,28,p,1,0,67.0,34.2132109929008,3,167.68744102918785,2,2,1,167.68744102918785,22109,0.7674244,1,1,1
221090003004,16,p,1,0,49.0,34.2359056212786,3,168.8927201733197,2,2,1,168.8927201733197,22109,0.7674244,1,1,1
221090004021,122,p,1,0,167.0,34.245493686466,4,156.72785761379558,2,2,1,156.72785761379558,22109,0.7674244,1,1,1
221090004023,70,p,1,0,122.0,34.2894663295892,3,159.07460762610154,2,2,1,159.07460762610154,22109,0.7674244,1,1,1
221090011002,49,p,1,0,107.0,36.7610492446463,2,113.05578836061696,2,1,4,113.05578836061696,22109,0.7674244,1,1,1
220710017362,4,p,1,0,58.0,32.5580388776666,5,88.88623078980898,1,1,4,88.88623078980898,22071,0.06577263,1,1,0
220710017391,5,p,1,0,40.0,33.3653538735811,4,90.53320717750644,2,1,4,90.53320717750644,22071,0.06577263,1,1,0
221090005004,28,p,1,0,65.0,34.2806513405692,3,172.45499495196424,2,2,2,172.45499495196424,22109,0.7674244,1,1,1
221090004012,70,p,1,0,106.0,34.2847607524791,3,163.12973880494684,2,2,1,163.12973880494684,22109,0.7674244,1,1,1
221090004011,50,p,1,0,86.0,34.2484515759912,3,161.75810522859757,2,2,1,161.75810522859757,22109,0.7674244,1,1,1
221090004014,71,p,1,0,143.0,34.2458813615136,3,163.73240151822714,2,2,1,163.73240151822714,22109,0.7674244,1,1,1
221090005001,35,p,1,0,84.0,34.3587153742497,3,166.5,2,2,2,166.5,22109,0.7674244,1,1,1
221090005002,40,p,1,0,121.0,34.3250820374474,3,172.86980090850946,2,2,2,172.86980090850946,22109,0.7674244,1,1,1
220710017402,24,p,1,0,86.0,33.7374739126462,4,90.36115785902643,2,1,5,90.36115785902643,22071,0.06577263,1,1,0
220710017411,12,p,1,0,53.0,34.3015355586794,4,92.17896801356969,2,1,5,92.17896801356969,22071,0.06577263,1,1,0
220710017491,8,p,1,0,50.0,35.0492457097358,4,93.08276811537438,2,1,5,93.08276811537438,22071,0.06577263,1,1,0
220710023005,4,p,1,0,29.0,30.0869456298902,5,104.74946770350714,1,1,5,104.74946770350714,22071,0.06577263,1,1,1
221090014003,46,p,1,0,101.0,34.0760060763971,2,192.94000244140625,2,2,2,192.94000244140625,22109,0.7674244,1,1,1
220710006061,8,p,1,0,82.0,30.3500019487921,5,87.70783308428062,1,1,3,87.70783308428062,22071,0.06577263,1,1,1
221090015002,104,p,1,0,223.0,44.089713155388,3,183.3999938964844,2,2,0,183.3999938964844,22109,0.7674244,1,1,1
221090016001,68,p,1,0,86.0,44.2407329991164,3,108.29999542236328,2,1,1,108.29999542236328,22109,0.7674244,1,1,1
221090017002,318,p,1,0,582.0,44.6571734397332,3,162.5,2,2,1,162.5,22109,0.7674244,1,1,1
220710024022,12,p,1,0,48.0,30.1621456769511,5,101.93591604110708,1,1,4,101.93591604110708,22071,0.06577263,1,1,1
221090008004,73,p,1,0,124.0,34.123369865095,3,186.48673308041828,2,2,2,186.48673308041828,22109,0.7674244,1,1,1
221090005005,67,p,1,0,94.0,34.2594806703695,3,167.54411069506156,2,2,1,167.54411069506156,22109,0.7674244,1,1,1
